,,,,,,,,,,,,,,,,water quality
27,29,1.7,3.7,7.1,8.6,606,1306,2.1,10,0.4,5.6,2,27,120,430,0
24,34,4.6,5.8,7.1,7.4,480,1325,2.5,4,4.1,10.2,2,9,27,47,0
24,25,5.1,6.4,6.6,7.5,1023,1898,3.5,6,7.1,15.1,2,8,47,84,0
18,23,5.2,6.6,6.8,7.5,689,1180,3,6.2,6.16,14.1,6,11,34,48,0
23,29,1.8,6.6,6.7,8.5,344,820,2.1,8,0.8,8.1,7,27,150,430,0
28,29,4.1,6.3,7.6,8.5,350,644,2.1,3,0.5,2.6,2,26,26,350,0
24,25,5.2,6.6,6.7,7.5,5,1437,2.2,5,9.1,15.15,8,12,43,84,0
18,28.5,5.1,5.9,7,7.4,155,200,1,1.6,0.72,3,17,58,94,220,0
19,30,5.2,5.9,6.6,7.3,121,198,1,2.2,0.55,3.08,21,63,140,280,0
19,29,5.2,6.4,7.1,7.5,124,211,1,1.5,0.58,2.94,13,58,79,210,0
19,30,5.2,6.2,6.9,7.5,137,198,1,1.8,0.48,2.55,22,41,120,210,0
18,29,5.2,6.3,7.1,7.5,152,203,1,1.9,0.74,2.73,21,58,94,220,0
18,29,5.3,6.9,6.9,7.3,148,206,1.4,2.3,0.72,3.5,27,84,150,280,0
18,29,5.6,6.5,7,7.7,129,181,1,2.1,0.73,2.73,25,63,150,280,0
19,28.5,5.1,5.8,6.6,7.5,132,187,1.1,1.7,1.07,3.06,31,49,170,240,0
19,28.5,5.4,6.5,6.9,7.5,157,228,1,1.8,1,2.48,17,48,84,170,0
18.5,29,5.6,6.7,6.7,7.3,139,194,1,1.8,0.67,2.39,17,46,84,170,0
18.5,30,5,6.1,6.2,7.3,142,198,1,1.9,0.7,2.49,15,48,63,210,0
19,29.5,5.2,6.2,6.9,7.3,143,201,1,2.2,0.71,3.08,17,58,84,210,0
19.5,29.5,5.1,6.8,7,7.7,141,220,1.5,2.6,1.54,4,33,93,140,280,0
18,29,5.1,6,6.9,7.5,143,191,1.1,1.6,0.61,2.48,27,47,110,210,0
19,30,5.1,5.9,6.8,7.4,135,198,1,1.9,0.58,2.4,17,47,110,220,0
19,29,5.4,6.8,6.9,7.4,134,192,1,1.5,0.72,2.39,17,63,94,240,0
19.5,30,1.2,6.2,6.4,8,147,216,3.1,11,0.89,6.6,47,94,210,430,0
19,29,5,5.9,6.6,7.2,128,192,1.1,1.9,0.68,2.9,17,58,84,210,0
17,24,7.8,8.8,8.1,9,468,539,5.2,6.8,-,-,30000,40000,55000,64000,0
19,26,5.8,7,7.6,8.2,251,371,4,5,0.8,0.92,3600,4300,6300,7900,0
18,22,4.5,5.8,7.2,8.4,624,629,6,15,-,-,-,-,-,-,0
18,23.2,1.2,4.7,7.5,8.9,1190,1336,16,32,-,-,4300,4300,6300,6300,0
11,23,7.4,9,7.2,8,160,210,1,1.6,0.32,0.37,70,170,210,540,0
9,22,7.6,9.6,7.2,7.8,370,440,1,2,0.32,0.36,140,350,350,920,0
19,30,7.7,8.6,7,8.1,141,195,1.2,1.7,0.3,0.3,1100,2200,1400,3900,0
22.5,34,4,13.1,7.8,8.7,568,763,3.2,8.5,0.35,0.72,3300,35000,4900,54000,0
22.5,34,4.5,10.9,7.5,8.6,567,868,3.2,6.9,0.3,0.8,1400,92000,3300,160000,0
6,24,5.5,7.8,6.9,7.9,20,97,1,1.8,0.3,0.3,60,5000,110,13000,0
21,30,6.8,8.2,6.7,7.6,32,68,1,2.2,0.3,0.3,400,5000,1300,13000,0
19,33,6.8,8.9,6.7,8.4,32,128,1.4,2.1,0.3,0.3,170,2600,700,9000,0
22.5,34,3.8,12,7.6,8.7,569,775,3.6,7.2,0.3,0.9,13000,240000,23000,540000,0
4,24,5.8,6.9,6.5,8,67,196,1.8,2.8,0.3,0.32,2100,5000,5000,14000,0
22,31,5.2,9.7,7.2,8.5,252,826,1.8,4.1,0.3,1.9,330,790,1100,1700,0
22,32,8.8,9.8,7,7.6,311,422,2.7,7.3,0.3,0.8,3100,9400,4300,12000,0
7,16,7.1,8.1,6.9,7.6,13,29,1,1.1,0.3,0.3,70,110,110,210,0
9,24,7.2,8.2,6.9,7.6,20,36,1,1.8,0.3,0.3,60,130,110,330,0
8,18,7.1,8.5,6.9,7.9,16,73,1,1.6,0.3,0.3,70,110,110,330,0
